source_url,slug,name,brand,sku,product_type,stock_status,price,compare_at_price,currency,meta_description,images,local_images,scraped_at
https://mtd-global.com/kem-duong-dermaxilic-b5-tone-up-cream,kem-duong-dermaxilic-b5-tone-up-cream,"Kem dưỡng DERMAXILIC B5 TONE-UP CREAM",DERMAXILIC,8809755466534,"KEM DƯỠNG",in_stock,250000,,VND,,https://bizweb.dktcdn.net/100/660/831/products/471.png?v=1783068932003|https://bizweb.dktcdn.net/100/660/831/products/vn-11134207-7ras8-mdo5hz7tdvb9a9.jpg?v=1783068932003,storage/images/kem-duong-dermaxilic-b5-tone-up-cream/01.png|storage/images/kem-duong-dermaxilic-b5-tone-up-cream/02.jpg,2026-07-12T16:38:00+00:00
https://mtd-global.com/mat-na-duong-da-shegaia-dragonblood-exosome-pore-procedure-mask,mat-na-duong-da-shegaia-dragonblood-exosome-pore-procedure-mask,"Mặt nạ dưỡng da SHEGAIA DRAGONBLOOD EXOSOME PORE PROCEDURE MASK",SHEGAIA,8809689377951,"Mặt nạ",in_stock,530000,780000,VND,"SHEGAIA Dragon Blood Exosome Pore Procedure Mask là mặt nạ rửa cao cấp đến từ Hàn Quốc, được phát triển dành cho làn da có lỗ chân lông to, bề mặt sần sùi, da tiết nhiều dầu và thiếu săn chắc . Công thức kết hợp Dragon Blood (Huyết Rồng), Exosome và hơn 100 thành phần chăm sóc da giúp làm sạch sâu, hỗ trợ se khít lỗ ch",https://bizweb.dktcdn.net/100/660/831/products/466.png?v=1782635876027|https://bizweb.dktcdn.net/100/660/831/products/sg-11134207-823q6-mpak2mqyjsapf5.jpg?v=1782635942640,storage/images/mat-na-duong-da-shegaia-dragonblood-exosome-pore-procedure-mask/01.png|storage/images/mat-na-duong-da-shegaia-dragonblood-exosome-pore-procedure-mask/02.jpg,2026-07-12T16:38:03+00:00
https://mtd-global.com/combo-2-tay-trang-jmsolution-500ml-h9,combo-2-tay-trang-jmsolution-500ml-h9,"COMBO 2 TẨY TRANG JMSOLUTION H9 500ML",JMSOLUTION,PVN1065,"tẩy trang",out_of_stock,299000,,VND,"JM Solution H9 Hyaluronic Ampoule Cleansing Water là nước tẩy trang nổi tiếng đến từ Hàn Quốc, được thiết kế với công thức làm sạch dịu nhẹ kết hợp cấp ẩm chuyên sâu. Sản phẩm chứa phức hợp H9 Hyaluronic Acid Complex giúp loại bỏ lớp trang điểm, kem chống nắng, bụi bẩn và dầu thừa trên da mà không gây khô căng sau khi",https://bizweb.dktcdn.net/100/660/831/products/464.png?v=1781952908393|https://bizweb.dktcdn.net/100/660/831/products/nuoc-tay-trang-jmsolution-h9-hyaluronic-ampoule-3-1.jpg?v=1781952941470|https://bizweb.dktcdn.net/100/660/831/products/nuoc-tay-trang-jmsolution-h9-hyaluronic-ampoule-11-1744719912416-jpg-v-1744720015010.jpg?v=1781952966437|https://bizweb.dktcdn.net/100/660/831/products/9457cbe00e774098b986050f41361690-591d09ed93674b5dabe3555e147e5096-grande-1744720003260-png-v-1744720015010.png?v=1781952972627,storage/images/combo-2-tay-trang-jmsolution-500ml-h9/01.png|storage/images/combo-2-tay-trang-jmsolution-500ml-h9/02.jpg|storage/images/combo-2-tay-trang-jmsolution-500ml-h9/03.jpg|storage/images/combo-2-tay-trang-jmsolution-500ml-h9/04.png,2026-07-12T16:38:05+00:00
https://mtd-global.com/san-pham-duong-da-re-lab-mela-b3-5-serum-giup-duong-am-lam-trang-da-50ml,san-pham-duong-da-re-lab-mela-b3-5-serum-giup-duong-am-lam-trang-da-50ml,"Sản phẩm dưỡng da RE:LAB MELA B3 5% SERUM giúp dưỡng ẩm, làm trắng da, 50ml",RELAB,8809136718832,"tinh chất",in_stock,330000,390000,VND,"RE:LAB MELA B3 Serum là dòng tinh chất dưỡng sáng và hỗ trợ cải thiện sắc tố da nổi bật đến từ Hàn Quốc. Sản phẩm kết hợp bộ ba hoạt chất 5% Niacinamide, 5% Mandelic Acid và 3% Tranexamic Acid , giúp tác động đa tầng lên các vấn đề thâm mụn, nám, tàn nhang và da không đều màu, đồng thời hỗ trợ cải thiện kết cấu da và d",https://bizweb.dktcdn.net/100/660/831/products/461.png?v=1781689243253|https://bizweb.dktcdn.net/100/660/831/products/vn-11134207-7ras8-m2t38ir8g8aue9.jpg?v=1781689368460|https://bizweb.dktcdn.net/100/660/831/products/relab-mela-b3-serum-3-scaled.jpg?v=1781689384950,storage/images/san-pham-duong-da-re-lab-mela-b3-5-serum-giup-duong-am-lam-trang-da-50ml/01.png|storage/images/san-pham-duong-da-re-lab-mela-b3-5-serum-giup-duong-am-lam-trang-da-50ml/02.jpg|storage/images/san-pham-duong-da-re-lab-mela-b3-5-serum-giup-duong-am-lam-trang-da-50ml/03.jpg,2026-07-12T16:38:09+00:00
https://mtd-global.com/tinh-chat-duong-da-some-by-mi-aha-bha-pha-30-days-miracle-serum-50ml,tinh-chat-duong-da-some-by-mi-aha-bha-pha-30-days-miracle-serum-50ml,"Tinh chất dưỡng da Some By Mi AHA-BHA-PHA 30 Days Miracle Serum 50ml","SOME BY MI",8809525242764,"tinh chất",in_stock,350000,450000,VND,"Some By Mi AHA-BHA-PHA 30 Days Miracle Serum là dòng tinh chất giảm mụn nổi tiếng của Some By Mi Hàn Quốc, được thiết kế dành riêng cho làn da dầu mụn, da có lỗ chân lông bít tắc và da thường xuyên xuất hiện mụn ẩn, mụn đầu đen. Sản phẩm kết hợp bộ ba tẩy da chết hóa học AHA - BHA - PHA cùng Tea Tree và Centella Asiati",https://bizweb.dktcdn.net/100/660/831/products/462.png?v=1781782803860|https://bizweb.dktcdn.net/100/660/831/products/vn-11134207-7ra0g-m7dwacb89f1yff-54b0d5d728484bc3b850c620715c77de-1024x1024.jpg?v=1781782899877|https://bizweb.dktcdn.net/100/660/831/products/cfmjgfmkh-dd0a1ff4c94a4e048342fd18d0bbd191-master.jpg?v=1781782915237,storage/images/tinh-chat-duong-da-some-by-mi-aha-bha-pha-30-days-miracle-serum-50ml/01.png|storage/images/tinh-chat-duong-da-some-by-mi-aha-bha-pha-30-days-miracle-serum-50ml/02.jpg|storage/images/tinh-chat-duong-da-some-by-mi-aha-bha-pha-30-days-miracle-serum-50ml/03.jpg,2026-07-12T16:38:11+00:00
https://mtd-global.com/some-by-mi-kem-chong-nang-truecica-mineral-calming-tone-up-suncream-50ml,some-by-mi-kem-chong-nang-truecica-mineral-calming-tone-up-suncream-50ml,"Some By Mi Kem chống nắng Truecica Mineral Calming Tone-up Suncream 50ml","SOME BY MI",8809647391609,"Chống nắng",out_of_stock,320000,400000,VND,"Some By Mi Truecica Aqua Calming Suncream là dòng kem chống nắng hóa học nổi tiếng của Some By Mi Hàn Quốc, được thiết kế dành riêng cho làn da nhạy cảm, da dầu mụn và da dễ kích ứng. Sản phẩm sở hữu chỉ số chống nắng cao SPF50+ PA++++ , giúp bảo vệ da toàn diện trước tia UVA và UVB, đồng thời bổ sung độ ẩm và làm dịu",https://bizweb.dktcdn.net/100/660/831/products/463.png?v=1781782523073|https://bizweb.dktcdn.net/100/660/831/products/1692937740617-267-jpeg.jpg?v=1781782692890|https://bizweb.dktcdn.net/100/660/831/products/and9gcqtrxqaorhgaiuycguncakjwllb1jbmqir7ja-s.jpg?v=1781782709523,storage/images/some-by-mi-kem-chong-nang-truecica-mineral-calming-tone-up-suncream-50ml/01.png|storage/images/some-by-mi-kem-chong-nang-truecica-mineral-calming-tone-up-suncream-50ml/02.jpg|storage/images/some-by-mi-kem-chong-nang-truecica-mineral-calming-tone-up-suncream-50ml/03.jpg,2026-07-12T16:38:14+00:00
https://mtd-global.com/kem-mat-usolab,kem-mat-usolab,"Kem mắt trị quầng thâm, bọng mắt USOLAB BIO ADVANCED LIGHTENING EYE CREAM 25ML",USOLAB,8809801697417,"kem dưỡng",in_stock,690000,820000,VND,"Bio Advanced Lightening Eye Cream là dòng kem mắt cao cấp đến từ thương hiệu USOLAB Hàn Quốc, được nghiên cứu chuyên biệt cho vùng da mắt mỏng manh và dễ lão hóa. Sản phẩm tập trung giải quyết đồng thời các vấn đề thường gặp như quầng thâm, bọng mắt, nếp nhăn đuôi mắt và tình trạng da chùng nhão quanh mắt , giúp đôi mắ",https://bizweb.dktcdn.net/100/660/831/products/460.png?v=1781687431200|https://bizweb.dktcdn.net/100/660/831/products/cong-dung-kem-mat.jpg?v=1781687537207|https://bizweb.dktcdn.net/100/660/831/products/thanh-phan-kem-mat.jpg?v=1781687537207|https://bizweb.dktcdn.net/100/660/831/products/cach-su-dung-kem-mat.jpg?v=1781687537207,storage/images/kem-mat-usolab/01.png||storage/images/kem-mat-usolab/03.jpg|storage/images/kem-mat-usolab/04.jpg,2026-07-12T16:38:17+00:00
https://mtd-global.com/sua-rua-mat-cerave,sua-rua-mat-cerave,"SỮA RỬA MẶT CERAVE",CERAVE,3337875597180,"sữa rửa mặt",in_stock,320000,,VND,"CeraVe là thương hiệu dược mỹ phẩm nổi tiếng đến từ Mỹ, được các bác sĩ da liễu khuyên dùng nhờ công thức tối giản, lành tính và tập trung vào việc phục hồi hàng rào bảo vệ da. Hai dòng sữa rửa mặt bán chạy nhất của hãng gồm CeraVe Foaming Facial Cleanser (Xanh Lá) và CeraVe Hydrating Facial Cleanser (Xanh Ngọc) , đáp",https://bizweb.dktcdn.net/100/660/831/products/300-60b7cef0-4c08-4f24-9626-b9a3fc8ced42.png?v=1781074865923|https://bizweb.dktcdn.net/100/660/831/products/cong-dung-sua-rua-mat-cerave-foaming-facial-cleanser.png?v=1781074945723|https://bizweb.dktcdn.net/100/660/831/products/sua-rua-mat-cerave-foaming-facial-cleanser-da-dau-7.png?v=1781075065927|https://bizweb.dktcdn.net/100/660/831/products/sua-cerave-cho-da-kho-236ml-e76b625b7e19428598a874e192d1a93f.jpg?v=1781075100293|https://bizweb.dktcdn.net/100/660/831/products/cong-dung-cua-sua-rua-mat-cerave-cho-da-kho-157d0d4bfbe7470c9b611481dac8268e.jpg?v=1781075112450,storage/images/sua-rua-mat-cerave/01.png|storage/images/sua-rua-mat-cerave/02.png|storage/images/sua-rua-mat-cerave/03.png|storage/images/sua-rua-mat-cerave/04.jpg|storage/images/sua-rua-mat-cerave/05.jpg,2026-07-12T16:38:21+00:00
https://mtd-global.com/tinh-chat-duong-sang-da-mo-tham-maxclinic-vita10-vital-ampoule-100ml,tinh-chat-duong-sang-da-mo-tham-maxclinic-vita10-vital-ampoule-100ml,"Tinh Chất Dưỡng Sáng Da Mờ Thâm Maxclinic Vita10 Vital Ampoule 100ml",MAXCLINIC,8809653323700,"tinh chất",in_stock,360000,550000,VND,"Maxclinic Vita-10 Vital Ampoule là dòng tinh chất dưỡng sáng chuyên sâu nổi tiếng của Maxclinic Hàn Quốc, được phát triển dành cho làn da xỉn màu, thâm mụn và thiếu sức sống. Sản phẩm chứa phức hợp 10 loại Vitamin thiết yếu kết hợp cùng Niacinamide và các hoạt chất dưỡng ẩm giúp cải thiện sắc tố da, hỗ trợ làm mờ thâm",https://bizweb.dktcdn.net/100/660/831/products/454.png?v=1780929319190,storage/images/tinh-chat-duong-sang-da-mo-tham-maxclinic-vita10-vital-ampoule-100ml/01.png,2026-07-12T16:38:25+00:00
https://mtd-global.com/mat-na-eviralab-nad-skin-renewal-mask-23g-10sheet-box,mat-na-eviralab-nad-skin-renewal-mask-23g-10sheet-box,"Mặt nạ Eviralab Skin renewal mask 23g (10sheet/box)",EVIRALAB,8809801696205,"Mặt nạ",in_stock,20000,,VND,"Eviralab mang đến hai dòng mặt nạ sinh học chuyên biệt, đáp ứng hai nhu cầu chăm sóc da phổ biến nhất: phục hồi – tái tạo và dưỡng sáng – kiểm soát sắc tố . Cả hai đều được phát triển theo công nghệ dược mỹ phẩm Hàn Quốc với chất liệu mask ôm khít khuôn mặt, chứa lượng essence đậm đặc giúp dưỡng chất thẩm thấu tối ưu,",https://bizweb.dktcdn.net/100/660/831/products/457.png?v=1781163428603|https://bizweb.dktcdn.net/100/660/831/products/vn-11134207-820l4-mfxtgior24un51.jpg?v=1781163732437|https://bizweb.dktcdn.net/100/660/831/products/vn-11134207-820l4-mfxtgip7ycr12a.jpg?v=1781163735177|https://bizweb.dktcdn.net/100/660/831/products/vn-11134207-820l4-mipmj3yvhyiu17.jpg?v=1781163738250|https://bizweb.dktcdn.net/100/660/831/products/vn-11134207-820l4-mf12b6d4icjx64.jpg?v=1781163738250,storage/images/mat-na-eviralab-nad-skin-renewal-mask-23g-10sheet-box/01.png|storage/images/mat-na-eviralab-nad-skin-renewal-mask-23g-10sheet-box/02.jpg|storage/images/mat-na-eviralab-nad-skin-renewal-mask-23g-10sheet-box/03.jpg|storage/images/mat-na-eviralab-nad-skin-renewal-mask-23g-10sheet-box/04.jpg|storage/images/mat-na-eviralab-nad-skin-renewal-mask-23g-10sheet-box/05.jpg,2026-07-12T16:38:27+00:00
